Method;LOC;CC;NP;NV;NEST;Ca;Ce;NChg;NCall
ShareX.HelpersLib.DNSChangerForm.cbAutomatic_CheckedChanged(Object,EventArgs);1.0;1.0;2;0.0;0.0;1;1;1.0;0.0
ShareX.HelpersLib.DNSChangerForm.cbDNSType_SelectedIndexChanged(Object,EventArgs);6.0;3.0;2;3.0;2.0;1;3;2.0;1.0
ShareX.HelpersLib.DNSChangerForm.txtPreferredDNS_TextChanged(Object,EventArgs);1.0;1.0;2;0.0;0.0;1;1;2.0;1.0
ShareX.HelpersLib.DNSChangerForm.txtAlternateDNS_TextChanged(Object,EventArgs);1.0;1.0;2;0.0;0.0;1;1;2.0;1.0
ShareX.HelpersLib.DNSChangerForm.UpdateControls();3.0;3.0;0;0.0;1.0;5;0;2.0;4.0
ShareX.HelpersLib.DNSChangerForm.SendPing(String);6.0;4.0;1;2.0;1.0;2;2;4.0;0.0
ShareX.HelpersLib.DNSChangerForm.btnSave_Click(Object,EventArgs);18.0;9.0;2;11.0;3.0;1;8;6.0;0.0
ShareX.HelpersLib.DNSChangerForm.btnCancel_Click(Object,EventArgs);1.0;1.0;2;0.0;0.0;1;0;2.0;1.0
ShareX.HelpersLib.DNSChangerForm.btnPingPrimary_Click(Object,EventArgs);1.0;1.0;2;0.0;0.0;1;1;1.0;0.0
ShareX.HelpersLib.DNSChangerForm.btnPingSecondary_Click(Object,EventArgs);1.0;1.0;2;0.0;0.0;1;1;1.0;0.0
ShareX.HelpersLib.DNSChangerForm.Dispose(Boolean);3.0;3.0;1;1.0;1.0;0;0;1.0;1.0
ShareX.HelpersLib.DNSChangerForm.InitializeComponent();82.0;1.0;0;1.0;0.0;1;9;10.0;1.0
ShareX.HelpersLib.DNSInfo.DNSInfo(String,String,String);4.0;1.0;3;0.0;0.0;1;3;1.0;0.0
ShareX.HelpersLib.DNSInfo.ToString();1.0;1.0;0;1.0;0.0;0;1;1.0;13.0
ShareX.HelpersLib.DWMManager.DWMManager();2.0;1.0;0;0.0;0.0;0;1;1.0;0.0
ShareX.HelpersLib.DWMManager.AutoDisable();5.0;2.0;0;2.0;1.0;0;1;2.0;0.0
ShareX.HelpersLib.DWMManager.ChangeComposition(Boolean);3.0;3.0;1;1.0;1.0;2;2;1.0;0.0
ShareX.HelpersLib.DWMManager.Dispose();3.0;3.0;0;1.0;1.0;0;1;1.0;0.0
ShareX.HelpersLib.VideoEncoder.VideoEncoder();5.0;1.0;0;0.0;0.0;1;4;3.0;0.0
ShareX.HelpersLib.VideoEncoder.Encode(String,String);11.0;5.0;2;4.0;3.0;1;5;3.0;0.0
ShareX.HelpersLib.VideoEncoder.IsValid();1.0;3.0;0;1.0;2.0;2;2;1.0;0.0
ShareX.HelpersLib.VideoEncoder.ToString();1.0;1.0;0;1.0;0.0;0;1;1.0;0.0
ShareX.HelpersLib.ExternalCLIManager.Open(String,String);29.0;6.0;2;9.0;3.0;3;3;9.0;0.0
ShareX.HelpersLib.ExternalCLIManager.cli_OutputDataReceived(Object,DataReceivedEventArgs);3.0;3.0;2;2.0;2.0;1;0;2.0;0.0
ShareX.HelpersLib.ExternalCLIManager.cli_ErrorDataReceived(Object,DataReceivedEventArgs);3.0;3.0;2;2.0;2.0;1;0;4.0;0.0
ShareX.HelpersLib.ExternalCLIManager.WriteInput(String);2.0;5.0;1;1.0;3.0;1;0;2.0;0.0
ShareX.HelpersLib.ExternalCLIManager.Close();2.0;3.0;0;1.0;1.0;1;0;4.0;0.0
ShareX.HelpersLib.ExternalCLIManager.Dispose();2.0;2.0;0;1.0;1.0;0;0;3.0;0.0
ShareX.HelpersLib.EnumInfo.EnumInfo(Enum);4.0;1.0;1;0.0;0.0;3;6;1.0;162.0
ShareX.HelpersLib.NumberExtensions.Min(Int32,Int32);3.0;2.0;2;2.0;1.0;11;0;1.0;0.0
ShareX.HelpersLib.NumberExtensions.Max(Int32,Int32);3.0;2.0;2;2.0;1.0;0;0;1.0;0.0
ShareX.HelpersLib.NumberExtensions.Between(Int32,Int32,Int32);5.0;3.0;3;3.0;1.0;25;0;1.0;0.0
ShareX.HelpersLib.NumberExtensions.Between(Single,Single,Single);5.0;3.0;3;3.0;1.0;6;0;1.0;0.0
ShareX.HelpersLib.NumberExtensions.Between(Double,Double,Double);5.0;3.0;3;3.0;1.0;2;0;1.0;0.0
ShareX.HelpersLib.NumberExtensions.Between(Byte,Byte,Byte);5.0;3.0;3;3.0;1.0;1;0;1.0;0.0
ShareX.HelpersLib.NumberExtensions.Between(Decimal,Decimal,Decimal);5.0;3.0;3;3.0;1.0;3;0;1.0;0.0
ShareX.HelpersLib.NumberExtensions.IsBetween(Int32,Int32,Int32);1.0;2.0;3;1.0;1.0;3;0;1.0;0.0
ShareX.HelpersLib.NumberExtensions.IsBetween(Byte,Int32,Int32);1.0;2.0;3;1.0;1.0;1;0;1.0;0.0
ShareX.HelpersLib.NumberExtensions.BetweenOrDefault(Int32,Int32,Int32,Int32);3.0;2.0;4;2.0;1.0;10;1;1.0;0.0
ShareX.HelpersLib.NumberExtensions.Remap(Single,Single,Single,Single,Single);1.0;1.0;5;1.0;0.0;2;0;1.0;0.0
ShareX.HelpersLib.NumberExtensions.RandomAdd(Int32,Int32,Int32);1.0;1.0;3;1.0;0.0;1;1;2.0;0.0
